,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,6irs0blEan0,3433,65,1,0,2018-04-06T16:22:06.000Z,LOOK INSIDE! Harry Potter - A Magical Yearbook | JK Rowling | Book Reveal,That Geekish Family
1,y_XW_C7tKn4,24583,721,16,96,2018-05-03T21:28:39.000Z,HARRY POTTER SLIPCASE EDITIONS: Are they signed by J.K. Rowling? PLUS unboxing a RARE German book!,The Potter Collector
2,9Mo3feHsJqQ,473065,4683,345,397,2018-05-16T13:24:43.000Z,"Harry Potter and The Cursed Child Movie (2019) Trailer#2 - jk rowling,Daniel Radcliffe HD",MovieBuzz New Trailer
3,_RMkFzxBobM,4342,246,3,36,2018-06-03T21:25:33.000Z,THE BOOKSHOP WHERE JK ROWLING WROTE HARRY POTTER,Alex and Maddie
4,qauy0YcupDA,75915,1431,107,228,2018-06-04T12:42:49.000Z,15 Things You Didn’t Know About J. K.  Rowling,Alux.com
5,vej5ZXXmENQ,34880,1197,15,297,2018-06-12T03:53:48.000Z,SUPER RARE J.K. ROWLING SIGNED BOOK UNBOXING,The Potter Collector
6,EGVJ9y5oD7c,3231,166,1,39,2018-06-26T13:52:16.000Z,How JK Rowling starts Harry Potter: Voice vs. Exposition (video essay),How The Novel Starts
7,JmF14mzmKJo,67811,1821,21,366,2018-07-03T16:49:47.000Z,HARRY POTTER 20TH ANNIVERSARY HOUSE EDITIONS REVIEWED,The Potter Collector
8,PMPS9o3Ty7M,16407,433,17,27,2018-07-28T18:53:29.000Z,Harry Potter | J. K. Rowling - Stories | Malayalam motivation video Isaac Joy,Herald Motivation
9,h214BiXXjFY,2937897,90516,1345,9262,2018-08-11T00:00:57.000Z,Her Husband Left Her Homeless Before JK Rowling Wrote Harry Potter,MinuteVideos
10,2Cl0-PPspWY,2739,126,13,23,2018-08-25T16:00:01.000Z,J.K. ROWLING ne serait pas la véritable auteur de HARRY POTTER !,Angeline Sirba
11,kGYPWydv2Vo,14949,739,11,32,2018-08-26T00:30:02.000Z,Harry Potter लेखिका की सफलता की कहानी - J K ROWLING Biography in Hindi,SolutionFor LifeProblems
12,AF7Yc0vl_l4,591630,18158,196,2001,2018-08-30T00:47:19.000Z,The Life of JK Rowling Explained (Origins of the Harry Potter Series),MovieFlame
13,ord0r3dr3lk,10862,547,2,159,2018-08-30T22:21:50.000Z,6 EXTREMELY HARD TO FIND HARRY POTTER BOOKS,The Potter Collector
14,iCbTb5rCQE0,282182,10819,1668,2261,2018-09-01T13:24:02.000Z,JK Rowling needs to STOP with Harry Potter - Video Essay,Bryan Seeker
15,9_oybCt0RTI,1119834,15680,2031,3273,2018-09-03T17:00:00.000Z,10 Dark Harry Potter Theories That Were Actually Confirmed By J.K. Rowling,TheThings
16,qJ236mFOYzc,10284,535,3,197,2018-09-06T19:00:08.000Z,RARE HARRY POTTER BOOK TRANSLATIONS FROM AROUND THE WORLD,The Potter Collector
17,34NNqYFZxV4,1782200,24872,5135,3478,2018-09-08T17:00:00.000Z,10 Controversial Theories About Harry Potter CONFIRMED By JK Rowling,CBR
18,yBPyxL9ficY,2108124,24007,7643,2144,2018-09-20T18:24:38.000Z,J.K. Rowling Confirms A Hermione Theory We Suspected All Along,Looper
19,GZbzWo9weOU,13823,792,56,162,2018-09-27T11:08:12.000Z,"JK Rowling, abbiamo un problema (o forse due, o forse 3...)",Miss Fiction Books
20,iUCN0_M7FbY,473142,5509,319,474,2018-09-27T13:30:01.000Z,Top 10 Incredible Hidden Meanings in Harry Potter,WatchMojoUK
21,PUqMLJ7bteE,209045,12875,102,1468,2018-10-03T18:09:44.000Z,MEETING JK ROWLING - New York | Cherry Wallis,Cherry Wallis
22,QjeDReCcjHE,43295,1507,17,190,2018-10-04T19:00:01.000Z,SIGNED HARRY POTTER BOOK COLLECTION AND J.K. ROWLING SIGNATURE INFO,The Potter Collector
