,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,IvAZ7Pup0w0,124643,264,11,49,2008-01-11T05:51:46.000Z,Goblet of Fire Trailer - theme music - Van Helsing,v22arvind
1,ACNzq06azSw,362725,552,33,397,2008-01-14T16:59:39.000Z,Harry Potter And The Philosopher&#39;s Stone Trailer,HermelienWemel
2,5DgFdV7agsA,82926,124,13,32,2008-01-18T15:44:55.000Z,Trailer de Harry Potter and the Sorcerer&#39;s Stone Video-Game,nicolin2000
3,ybPl2ipLVmk,1635,2,0,0,2008-01-22T04:25:08.000Z,Harry Potter and ther Order of the Phoenix HD trailer,experthe
4,dkx2xi5tVf4,30556,54,13,4,2008-01-30T14:20:14.000Z,Harry Potter 5 Original Trailer Deutsch,Mainboardchecker
5,_bOartcJo1Y,68107,195,12,13,2008-02-01T00:40:30.000Z,Harry Potter and the Chamber of Secrets Trailer 2,TheDailySnitcher
6,Iop6Q_S2n08,16990,49,0,18,2008-02-01T01:07:04.000Z,Harry Potter and the Goblet of Fire Trailer 2,TheDailySnitcher
7,j7vnQlbft58,16428,54,1,11,2008-02-01T01:10:34.000Z,Harry Potter and the Goblet of Fire Trailer 1,TheDailySnitcher
8,N5MsAVBSbQ4,10151,29,0,1,2008-02-01T01:35:48.000Z,Harry Potter and the Order of the Phoenix Trailer 2,TheDailySnitcher
9,o8zKrA5kbNE,949952,1424,68,336,2008-02-02T04:52:49.000Z,harry potter 1 trailer high quality,popuntilyoudrop
10,X_AMyxZScBI,25239,48,9,17,2008-02-02T20:22:13.000Z,Harry Potter and the Deathly Hallows trailer,hpathbp25
11,joUvZJptWp0,526183,2246,190,403,2008-02-18T00:01:45.000Z,Harry Potter-trailer norsk dub 1 av 6,Ole Hval
12,kbe1COS-j1k,39004,174,8,40,2008-02-21T16:52:10.000Z,Toy Story Trailer (Harry Potter Style),elvenluna
13,8NR9C338hbQ,368033,747,80,217,2008-02-27T01:50:32.000Z,Thunderpants Trailer,RupertGrintNet
14,FC4Ko2LMGBY,31782,174,14,54,2008-04-25T23:06:34.000Z,Harry Potter and the Deathly Hallows Claymation trailer,lecter63
15,yEtziL3sj8g,25784,49,0,11,2008-05-16T19:56:23.000Z,Harry Potter e il Calice di Fuoco - Teaser Trailer,Harry Potter Art
16,sytMn1I8NyY,33298,40,1,20,2008-05-21T13:01:00.000Z,Harry Potter and the Philosopher&#39;s Stone Trailer,maxfacteur
17,-AQ_zLFF7iU,8037,41,14,12,2008-05-23T17:24:18.000Z,Harry Potter Sorcerer&#39;s Stone trailer dub (finnish),DubberTeam
18,FyL70YUha28,8089,12,3,5,2008-06-12T01:02:19.000Z,James (Harry) Potter Prequel / Sequel --  &quot;Official&quot; Trailer,kamiquazi2007
19,Lwc1deZVdRM,9260,23,2,31,2008-06-21T01:03:30.000Z,&quot;The Deathly Hallows&quot; A Harry Potter Movie Trailer,RedMatinee7007
