,id,viewCount,likeCount,dislikeCount,commentCount,publishedAt,title,channelTitle
0,BFc_OLq6neE,170384,874,21,157,2010-10-13T18:08:07.000Z,Harry Potter and the Deathly Hallows Part 1 New Teaser Trailer 1 Official HD,ClevverTV
1,KT0iPw3g9Yc,474120,1499,34,467,2010-10-13T18:09:16.000Z,Harry Potter and the Deathly Hallows Part 1 New Trailer 2 Official (HD),ClevverTV
2,177XtOLGLLg,272183,858,127,336,2010-10-17T07:35:34.000Z,Harry Potter and the Deathly Hallows Part 2 : Beyond The Trailer,Beyond The Trailer
3,TlfweZUgCQs,543131,1918,48,299,2010-10-21T14:12:28.000Z,HARRY POTTER UND DIE HEILIGTÜMER DES TODES - Teil 1 - Trailer Deutsch HD German,Warner Bros. DE
4,f6lk6NKTdxo,81008,389,21,157,2010-10-25T12:10:49.000Z,Officiele Trailer F2 NL gesproken: Harry Potter en de Relieken van de Dood - deel 1,Warner Bros NL
5,7UaDE96ZR5c,501303,2502,43,172,2010-10-25T17:23:44.000Z,Harry Potter e i Doni della Morte - Il trailer della parte 1 in HD,Warner Bros. Italia
6,ZKqdcGP7VI8,40431,105,7,5,2010-11-01T11:33:03.000Z,Harry Potter a relikvie smrti část 1 (cz trailer),Svět Filmu
7,1PbbdLiuwXI,25316,60,3,12,2010-11-01T21:18:32.000Z,Harry Potter and the Deathly Hallows Trailer Music 2 Harry Potter and the Deathly Hallows Trailer Music From Official Trailers and TV Spots,locoanimal99
8,YBRhKUuod2o,27742,234,4,1,2010-11-07T14:13:12.000Z,Harry Potter und der Halbblutprinz  Trailer Germen/Deutsch,xXxTheFossilxXx
9,8fpFFd07ZpM,53176,188,107,131,2010-11-17T18:23:47.000Z,Harry Potter 7: Deathly Hallows - Game Trailer,IGN
10,i0Y6NkEBxSw,30711,153,3,5,2010-11-23T11:20:59.000Z,Harry Potter e i Doni della Morte parte 1 - Special Trailer,Warner Bros. Italia
11,ZRiQL74q9X0,16604,50,3,5,2010-12-11T07:25:34.000Z,Harry Potter and the Philosopher&#39;s Stone - Year One Trailer [HD],The Trailer Guy
12,eKSB0gXl9dw,673574,1775,79,318,2011-01-06T05:00:56.000Z,Harry Potter and the Philosopher&#39;s Stone HD Trailer,Nicolikinz1
13,mObK5XD8udk,12752785,71354,1376,25707,2011-04-27T18:39:35.000Z,&quot;Harry Potter and the Deathly Hallows - Part 2&quot; Trailer 1,Warner Bros. Pictures
14,I_kDb-pRCds,9035620,39346,837,14461,2011-04-28T02:50:33.000Z,Harry Potter and The Deathly Hallows Part 2 Trailer Official (HD),ClevverTV
15,CndMW6FLEiI,458551,1551,32,431,2011-04-28T05:29:30.000Z,Harry Potter and the Deathly Hallows : Part 2 | OFFICIAL [HD] trailer US (2011),moviemaniacsDE
16,1mgidaTobQE,295277,1160,20,418,2011-04-28T07:09:46.000Z,Harry Potter and the Deathly Hallows Part 2  Trailer 1,FilmsActu
17,p0pJhLIbhvU,497541,1551,22,303,2011-04-28T14:05:15.000Z,Trailer: Harry Potter y las Reliquias de la Muerte - Parte 2,amoelcinelatam
18,AX85BTPv9KY,94714,396,19,280,2011-04-28T17:38:52.000Z,Harry Potter and the Deathly Hallows - Part 2 Trailer,Warner Bros. UK
19,JVHOtfeSf2s,135061,625,23,72,2011-04-29T08:46:08.000Z,HARRY POTTER 7 - TEIL 2 / offizieller Trailer #1 deutsch HD,Warner Bros. DE
20,aPMOvNjFcJY,19479,37,3,4,2011-04-30T11:40:30.000Z,Harry Potter and the Half Blood Prince - Official DVD Trailer,Streaming Clips
21,gHSz-McWp1M,450306,872,40,307,2011-05-06T07:55:48.000Z,Harry Potter i Insygnia Śmierci Część 2 - Oficjalny Zwiastun PL (polskie napisy) [Full HD],Warner Bros Polska
22,50N2eB0JI80,3831656,18113,1231,1778,2011-05-27T02:01:15.000Z,Harry Potter and the Sorcerer&#39;s Stone (1/5) Movie CLIP - Harry&#39;s Birthday (2001) HD,Movieclips
23,cPsIU9BTbcQ,1340017,3515,274,471,2011-05-27T02:05:22.000Z,Harry Potter and the Chamber of Secrets (2/5) Movie CLIP - Reckless Flying (2002) HD,Movieclips
24,wdTbkO_9HrA,60968,390,7,6,2011-05-28T06:48:28.000Z,Harry Potter and the Deathly Hallows: Part 1 - No One Else is Going to Die For Me Scene (2010),Movieclips
25,NO-FZeiptqI,66981,581,11,144,2011-06-07T21:18:18.000Z,Harry Potter and the Deathly Hallows Part 2 Featurette Official (HD),ClevverTV
26,RaQZZ4_2uHw,325298,1283,23,244,2011-06-11T15:34:44.000Z,Harry Potter and the Deathly Hallows Part 2 Trailer 2 Official 2011,Streaming Clips
27,ot8XLjUpbEk,137858,936,12,55,2011-06-14T19:18:51.000Z,Harry Potter e as Relíquias da Morte: Parte 2 - Trailer Especial (legendado) [HD],Warner Bros. Pictures Brasil
28,MxqsmsA8y5k,885152,4498,125,522,2011-06-16T11:36:40.000Z,Harry Potter and the Deathly Hallows: Part 1 Official Trailer #1 - (2010) HD,Movieclips
29,-L-z8VNbrcU,300835,2059,26,74,2011-06-16T11:36:41.000Z,Harry Potter and the Deathly Hallows: Part 1 Official Trailer #2 - (2010) HD,Movieclips
30,5NYt1qirBWg,10683554,62392,1079,21258,2011-06-16T19:05:51.000Z,&quot;Harry Potter and the Deathly Hallows - Part 2&quot; Trailer 2,Warner Bros. Pictures
31,monOjieIgA4,280632,747,32,148,2011-06-16T23:18:20.000Z,Harry Potter and the Deathly Hallows - Part 2 (2011) Official Trailer 2 NEW HD,Movieclips Trailers
32,1fvaS1qVBEw,3640,9,0,0,2011-06-17T07:59:29.000Z,First look at final trailer for Harry Potter And The Deathly Hallows Part Two,The Telegraph
33,t93ZKWYY4pE,8152,37,0,13,2011-06-17T12:39:16.000Z,&quot;Harry Potter and the Deathly Hallows - Part 2&quot; - Trailer 2,ukharrypotter
34,0scPPfboPhs,113151,373,16,13,2011-06-24T13:27:13.000Z,Harry Potter und der Orden des Phönix Offizieller Trailer (German),JustATwilightfan
